time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-11 08:00:00,21.897945,18.0,100.0,81.05008,1020.3823,16.364187,0.0,0.39130282
2021-01-11 09:00:00,23.977188,18.05,100.0,80.27628,1021.4812,16.073599,0.0,0.40856433
2021-01-11 10:00:00,26.28,17.85,100.0,80.769196,1021.9796,15.500729,0.1,0.39338362
2021-01-11 11:00:00,32.553635,18.55,100.0,79.06203,1021.88293,15.416389,0.1,0.44750857
2021-01-11 12:00:00,36.663483,18.95,100.0,78.865425,1021.08563,15.350338,0.3,0.4631195
2021-01-11 13:00:00,34.608715,18.85,100.0,80.12723,1020.1864,15.608072,0.2,0.4327594
2021-01-11 14:00:00,35.864742,18.7,100.0,79.08344,1019.5866,15.140339,0.1,0.45125592
2021-01-11 15:00:00,35.43578,18.3,99.0,80.05197,1019.48474,14.727339,0.1,0.41973352
2021-01-11 16:00:00,34.726475,18.3,100.0,76.26473,1019.78436,14.554249,0.1,0.49944568
2021-01-11 17:00:00,36.204617,17.65,100.0,78.93271,1020.2808,13.652977,0.1,0.42557728
2021-01-11 18:00:00,36.10963,17.5,100.0,78.655205,1021.0792,13.445526,0.2,0.4271332
2021-01-11 19:00:00,33.84766,16.95,100.0,74.5667,1021.97546,12.764715,0.1,0.49160922
